"","pert_iname","mean","n","median","sd","sRGES"
"5177","BRD-K54687541",0.0362536885585817,11,0.0337012290779281,0.0066203629341412,0.0362536885585817
"11073","ruxolitinib",0.0362554162028589,26,0.0323054776843889,0.00967052109209879,0.0362554162028589
"5209","BRD-K55082668",0.0362698699864266,8,0.0334402054605245,0.00874764447143697,0.0362698699864266
"7495","BRD-K82034465",0.036277324507882,3,0.0340113803038011,0.00940722321501029,0.036277324507882
"11892","VU-0413255-1",0.0362912864294161,3,0.0401405874873361,0.00826563528326024,0.0362912864294161
"9276","CP-55940",0.0362930978091011,6,0.0302466552292506,0.0110764780092272,0.0362930978091011
"587","BRD-A80383043",0.0362985670849055,4,0.0338472356652482,0.00841241496533681,0.0362985670849055
"592","BRD-A81377415",0.0363061704949553,3,0.0350766949196017,0.00339117115816893,0.0363061704949553
"9872","homochlorcyclizine",0.0363088868883904,4,0.0363597002321234,0.00864882715424037,0.0363088868883904
"1141","BRD-K05896800",0.0363102352325283,1,0.0363102352325283,NA,0.0363102352325283
"1867","BRD-K15168329",0.0363102352325283,1,0.0363102352325283,NA,0.0363102352325283
"1941","BRD-K16106362",0.0363102352325283,1,0.0363102352325283,NA,0.0363102352325283
"1946","BRD-K16144417",0.0363102352325283,1,0.0363102352325283,NA,0.0363102352325283
"1967","BRD-K16383683",0.0363102352325283,1,0.0363102352325283,NA,0.0363102352325283
"2113","BRD-K18293432",0.0363102352325283,1,0.0363102352325283,NA,0.0363102352325283
"2460","BRD-K22314621",0.0363102352325283,1,0.0363102352325283,NA,0.0363102352325283
"2762","BRD-K25768791",0.0363102352325283,1,0.0363102352325283,NA,0.0363102352325283
"3766","BRD-K37848804",0.0363102352325283,1,0.0363102352325283,NA,0.0363102352325283
"4704","BRD-K48914099",0.0363102352325283,1,0.0363102352325283,NA,0.0363102352325283
"6909","BRD-K75179331",0.0363102352325283,1,0.0363102352325283,NA,0.0363102352325283
"7264","BRD-K79326278",0.0363102352325283,1,0.0363102352325283,NA,0.0363102352325283
"8377","BRD-K92924609",0.0363102352325283,1,0.0363102352325283,NA,0.0363102352325283
"870","BRD-K02313433",0.0363386127053992,2,0.0363386127053992,0.0116538653927402,0.0363386127053992
"11666","thiethylperazine",0.0363471146782306,4,0.0341753069618894,0.0101196808808476,0.0363471146782306
"7566","BRD-K82987299",0.0363504388548669,7,0.0359600117958995,0.00307657284707434,0.0363504388548669
"2851","BRD-K27005217",0.036351014827429,1,0.036351014827429,NA,0.036351014827429
"4289","BRD-K44218307",0.036351014827429,1,0.036351014827429,NA,0.036351014827429
"5480","BRD-K58536094",0.036351014827429,1,0.036351014827429,NA,0.036351014827429
"5767","BRD-K62102996",0.036351014827429,1,0.036351014827429,NA,0.036351014827429
"5574","BRD-K59761766",0.0363551775837128,2,0.0363551775837128,0.00731508832017647,0.0363551775837128
"101","alpha-linolenic-acid",0.0363619125904957,7,0.0333542411110003,0.0065816239411338,0.0363619125904957
"9361","denbufylline",0.0363734335976092,2,0.0363734335976092,0.0130135033961651,0.0363734335976092
"9565","ergocryptine",0.0363734335976092,2,0.0363734335976092,0.0130135033961651,0.0363734335976092
"9922","ICI-89406",0.0363734335976092,2,0.0363734335976092,0.0130135033961651,0.0363734335976092
"9071","caffeic-acid-phenethyl-ester",0.0363764225472644,8,0.0352734745115549,0.00422326508007498,0.0363764225472644
"9937","ilomastat",0.0363807038993236,3,0.0383832288843687,0.00383881925565295,0.0363807038993236
"11738","trazodone",0.0363816866766617,3,0.0342897724251842,0.00834670729584922,0.0363816866766617
"9833","H-9",0.0363967535382981,19,0.0343264950927269,0.00803176973521186,0.0363967535382981
"10316","mefenamic-acid",0.0364052107529984,4,0.0379214605381947,0.0101959286898372,0.0364052107529984
"9411","digoxin",0.0364291206646467,36,0.0365774628768029,0.00624116193017206,0.0364291206646467
"7924","BRD-K87338781",0.0364381283018416,1,0.0364381283018416,NA,0.0364381283018416
"11873","VU-0365114-2",0.0364388426114469,9,0.0361365826378434,0.00773379384572205,0.0364388426114469
"9880","HTS-12264SC",0.036446994401634,4,0.0341819398148558,0.00962277943502408,0.036446994401634
