"","pert_iname","mean","n","median","sd","sRGES"
"6205","BRD-K67236950",-0.0630481092404879,8,-0.0630533482355332,0.00620941892053794,-0.0630481092404879
"1796","BRD-K14352739",-0.0630453058733411,2,-0.0630453058733411,0.000420074317369025,-0.0630453058733411
"3894","BRD-K39529907",-0.0630453058733411,2,-0.0630453058733411,0.000420074317369025,-0.0630453058733411
"2968","BRD-K28366444",-0.063040743638429,5,-0.0633584279961392,0.0060686811786122,-0.063040743638429
"513","BRD-A49848186",-0.063038554575439,9,-0.0627654369809794,0.00597967150507125,-0.063038554575439
"10140","KUC103898N",-0.0630382764643984,6,-0.0633670957218067,0.00533121703299392,-0.0630382764643984
"10956","racephedrine",-0.0630366244964313,6,-0.0644757259954813,0.00570355568113635,-0.0630366244964313
"9945","imiquimod",-0.0630366177751284,12,-0.0620500392804566,0.00984054444150243,-0.0630366177751284
"10613","NU-1025",-0.063035681219274,22,-0.0649835106170352,0.00644918990330139,-0.063035681219274
"11139","SA-1458985",-0.0630307864168903,3,-0.0637145724858426,0.0040035690628352,-0.0630307864168903
"10755","phenazopyridine",-0.0630293970560577,3,-0.0669314863732556,0.0073294857886676,-0.0630293970560577
"26","4-iodo-6-phenylpyrimidine",-0.0630292841323932,17,-0.0626616177678133,0.00884826857926849,-0.0630292841323932
"6768","BRD-K73642355",-0.0630269786597043,2,-0.0630269786597043,0.01193266028567,-0.0630269786597043
"4255","BRD-K43782840",-0.0630195126321664,2,-0.0630195126321664,0.0119432188430711,-0.0630195126321664
"4261","BRD-K43838150",-0.0630195126321664,2,-0.0630195126321664,0.0119432188430711,-0.0630195126321664
"6316","BRD-K68588778",-0.0630169235655009,9,-0.0633584279961392,0.00570932344748277,-0.0630169235655009
"1378","BRD-K08656311",-0.0630146414743166,4,-0.0630067812973362,0.00507109381276912,-0.0630146414743166
"3576","BRD-K35920785",-0.0630052018502039,6,-0.0652454005834614,0.0068523687876227,-0.0630052018502039
"10911","PSH-028",-0.0630052018502039,6,-0.0652454005834614,0.0068523687876227,-0.0630052018502039
"2669","BRD-K24686773",-0.0630024728926783,4,-0.0627568527279533,0.0022983096081908,-0.0630024728926783
"11173","SA-1463810",-0.0629990608202899,5,-0.0637145724858426,0.0058987482523725,-0.0629990608202899
"11447","selumetinib",-0.0629965119095763,83,-0.0637145724858426,0.00547789303058603,-0.0629965119095763
"753","BRD-K01048110",-0.0629959046096682,5,-0.0627482684749271,0.0080767091703799,-0.0629959046096682
"2244","BRD-K19677752",-0.0629959046096682,5,-0.0627482684749271,0.0080767091703799,-0.0629959046096682
"4245","BRD-K43683841",-0.062995419041355,3,-0.0582276057607141,0.0115670155717998,-0.062995419041355
"10870","promethazine",-0.06299403384671,11,-0.0637145724858426,0.00526554213492777,-0.06299403384671
"11970","YL-54",-0.0629931282042964,5,-0.0660414079989404,0.00542024414153777,-0.0629931282042964
"5641","BRD-K60636255",-0.0629904905696548,7,-0.0627482684749271,0.00555099426890821,-0.0629904905696548
"953","BRD-K03439359",-0.0629891344555291,3,-0.0631009831928039,0.000193727695722479,-0.0629891344555291
"4754","BRD-K49630153",-0.062983631586584,10,-0.0630533482355332,0.0057267286158808,-0.062983631586584
